,Q1,Q3,Q4,message,length,message_2,colour_green,colour_blue
2,Green,58,"2s\,?]C]O9E9= S^?E8J#$S@\-a@:g%tmTO+Z26ZU/;]Q+1^B`sZaH2v",1,56,0,1,0
3,Red,49,"/v.=R,&J~THu2WZz#$3{c+@xoMcn }ef$TyBQ_3.gJ|Pz1ELkewWlwUPuw,PQB>u13ZX\`(^{)J7I)PmM0Hp/da9.+uKL",1,93,0,0,0
4,Red,84,W3uXag{,2,7,1,0,0
5,Blue,75,"Ii<2$iV<Xu3pT=Rs^m#&vL8^""{Ww<3/t__eH(H9*y_aRfgs()\N.s{a{BsmB_suz/~n> F",1,70,0,0,1
6,Green,44,"?COrE]0Qa/:Pue[u?T/Njw}f.cQYGa,0*F.0Drmn3]uhsJMtM7D",2,51,1,1,0
7,Blue,51,%uEEt@X9K:@WGj#&4Jxc?d9>D=r<@thVd|:Tzy`OA7)82(h|F90{o.{@IN%$4m{,1,63,0,0,1
8,Green,44,"f!J5w(<W71LS'$WR\v\g""x#\16|={8EK&",2,33,1,1,0
9,Green,63,G72[6N!^>/2Ve<}4lNe-(]Z#g5o>T:leFwC4cvvpZ_6cyH03?BZv{:]jP{2>RR&C`q;sR &v]gudK 5n,1,80,0,1,0
10,Red,71,0Ugw1UlPmrE:{y4Pb(,2,18,1,0,0
11,Red,80,(g,2,2,1,0,0
12,Green,97,"cY&5p$k**Uh(K7Z2iCl,6.%}mdA30Xr_RPioc;+5hSoS&KXV<h2#G!ebCIs",1,59,0,1,0
13,Red,40,"h?,^9kBN@-W_L8rq-OPZQO+PbiQJ:0a$E16nDfid""kF99=na#aQ7YeSQ,:k{jRiM>J<SmY!4",1,72,0,0,0
14,Blue,39,"=~:xNR0uK=M~d8]/TfU4w< KzS6n%wSpKdriaF>20|y""1""n[|\;cq4wp<1{})",1,61,0,0,1
15,Green,61,`>d3N{>9sl9JW_~~uK=D]VYF7|Yi'm<8|l}\V2*X;*kkYqD,2,47,1,1,0
16,Red,62,"R1F<&-[yuLJpJohsYIYl>v#=o289JZ5DU:)-:&dH(r09*quUU""|sj3-B(/kes",1,61,0,0,0
17,Red,93,r5X2]f]Q9eC`i4\rZ&WB[939{z\62vHA,2,32,1,0,0
18,Red,39,"\zA""UD-zSEr!\\]d8SAz[QM~0hO 1!Fo>Y_s6XRBP""{NL/uA#[QQzPr^4C[IJ,ogA$TQU",1,69,0,0,0
19,Blue,1,"+s}(>d2D7ZM/tT&;_EU5t`Kei3'6.X6""HJH:Gr6m5Ng363aI;%r0#yE\e|y?uZ=;=43vv=EG>XXxrjKN4(WdV$'QX]L@eWN Wo r",2,100,1,0,1
20,Green,70,"rQ=Cx""$nkp+o-k^F@vdyM;+4+GiMO8/PA6+ 4-BFf}s@I;&mh=5y<R(X*0y-P97^""6qzc}`.M1",1,74,0,1,0
21,Red,103,;_;bR@xq6U`h{1>(o$>`vrW#Y15!I{AsP6m2fYTKcNB8s:hs#,1,49,0,0,0
22,Red,89,cUx^lEYmgeq><,2,13,1,0,0
23,Blue,-15,"wMJpv!)[`SWh]:""Y[MD[[,ke{|12qdo[?$^LoO`[|dch2=A(Zm$lzL$12FaLNi|G#4x+U""Q#5;oSYaf~7dJV^PjGzV#",2,91,1,0,1
24,Blue,51,"gK]vw^wr}7zm+=M!3zR?[,zM_K0='Pxv""Op=S)7fe.*Q9@}j_I/FHf8""UrKWxQ<W7yiFHjHS-:<{}T",1,78,0,0,1
25,Blue,6,"3vT.ky EXo{Sh>j?WOLGTb3S76Usb3eVK1@1~D|r{""~NIf`3$Q*Yy= l):0j<Es;&ta)c/B""AfNr-;vqD\/}e4@:,lPF5aE""U['M.&\$t\bC",2,108,1,0,1
26,Green,14,",N*<+H<OFmH -i$0~y%be6jOX;|m",2,28,1,1,0
27,Blue,16,".d0W48s7uNZ0~dk*\L,,3:u)^__yNPSl0vdNxLZ+oS+~,""u/Q*t&8$81B#MpC@yc|b?@b^VeWS=rt\ITPYeru!tC~g&",2,91,1,0,1
28,Red,82,"baXL2]l6YZ5rYU&(8K c^X;(""[z{!1",2,30,1,0,0
29,Blue,39,"tMb7N?v-Hes*%:K lTp?4n50^EQ_Op%z;NcB94;o,hZuW/j7|xvcPsP:[fSV|8rDw}.X-P|>xW#(4 iM/)O2.sjL8(B",1,91,0,0,1
30,Red,29,")X$)L]{Z2/2'@$J9:oCqtpx&'|d3;!-1?22e""#{5nZ1a[9""|Z",1,49,0,0,0
31,Blue,12,"b{lL~hYjrnP(7bMlr#U6f>6$yjGVVpU?b?'Q+Hu Re^qo[2N~f""t2x[h*+Tpp(8Y\^'S[ZJ\XV7j4O~i-"",-J;&""FXcz9y""E3::FR;Ttt{Y5B\<y#p3|HX",2,118,1,0,1
32,Red,75,5A10L9Rvw(}KNO'FG*<0^Pd2p2,2,26,1,0,0
33,Green,19,"bo *Xs%A~g""#_Px?t:tU(q13of""$KW:}.n`+hh4)1R#Y/J|9C\7%@0X8v9,[5U4/Ru!QX/~Fd|1",2,75,1,1,0
34,Green,44,"m}m#-tee)MNJ6Gux;o5;p'$n4_cs*8oW?zN,Z\M'?I@?fxwK,X\Eo{NAOH@x |",2,62,1,1,0
35,Red,63, ,2,1,1,0,0
36,Red,53,P\x z*)QCrV)Wh4c.'=X-yU%a$Zjb^[M)U/\<h^i3DmjuEr&~9whgtX>,1,56,0,0,0
37,Green,65,"@MK>zN\2""*bXB4@?Xy/4H=}ilpE(!*?$m8oqaeF-cPw]P\'u4lb6U&CH-/e*()WSYtu1:Hn&t8Y/**5",1,79,0,1,0
38,Red,72,"=xfVt$)7Cd)DX<kMDHc/Qn&6b/b>_z?CG.U""B",1,37,0,0,0
39,Green,57,", Zmx5-q>d;ey'6a/'/^;&+ Vu>}vQDm72'M9_Bb\@*4okM4P-}C^$;&Wr_Qpx5F R7S",2,68,1,1,0
40,Green,43,`E=/h:4+{l'0civnmKC8*% rc(z{H+vt$(aO).O)7~y9a6n(0~{s=ZCNM-G=/m=d'ucMn,2,69,1,1,0
41,Green,43,yOwp {nLq&1TzTbvC=LPhe101GOfbH*2*J~]hL5GepAHv}ZV,2,48,1,1,0
42,Green,25,"Y?6uOdSFUfQ 5d%w}vboJNgCr7zQ0,NT,a/_ng9kpI\06s",2,46,1,1,0
43,Green,55,"a}X6@8qdY@<E%PFPasHu9eLhSw}oR#jgn.6jzR6Vhl03vwJj&XYSOJ95O!""L7Eb4X.1Nd.Hn@QqW]sVSP,5W`",1,85,0,1,0
44,Red,55,"52`eK l+7ruC\pb2(ToRf).^)2'&Bc\B.*b/[g50b>ttkfd@uB[PT3co}3p4l""wt",1,64,0,0,0
45,Red,61,"[sYt%/gtfb/aRYSA)\'Y\`W%Y mwQ(KYn)}];Vt+JIgYT'^U.mL9C%hZN7[kysQF76;nbs|Y7O""q`*\~""nWU%]ryLVqx6",1,93,0,0,0
46,Green,30,"|#;pHIoFnNi<TUftzl^A-P]E)|]Xki4tnI-SH|}^tkS^vzZ,s1i,$2f5OCE<#P=]1,|XCM33E>",2,74,1,1,0
